comment1,comment2,No.,Ticker,MarketCap,P/E,FwdP/E,PEG,P/S,P/B,P/C,P/FCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
1,,220,GIFI,60.80M,-,-,-,0.49,0.54,0.85,-,44.90%,-270.40%,-0.40%,31.60%,-3.90%,3.88,0.00%,"12,652"
1,,222,DSWL,60.05M,5.58,-,-,0.78,0.69,1.3,-,718.40%,-,29.70%,-,7.80%,3.81,-1.55%,"3,067"
watch,adj bv 10,223,ARKR,58.95M,4.7,-,-,0.45,1.17,3.07,8.19,367.10%,-,25.50%,-,-2.60%,16.7,-0.54%,"8,808"
1,,224,FTFT,58.37M,-,-,-,4.26,0.64,1.1,-,-172.40%,-,-23.70%,15.00%,-66.40%,0.8,-3.90%,"428,031"
1,,225,CTHR,58.17M,5.03,18.1,0.17,1.35,0.93,3.57,18.18,297.00%,42.86%,33.50%,30.00%,6.10%,1.81,-0.55%,"45,041"
1,,226,OPTT,58.06M,-,-,-,41.47,0.73,0.8,-,65.80%,-,67.90%,-,11.30%,1.02,-1.92%,"179,422"
1,,227,ISR,57.27M,-,-,-,5.35,0.82,0.95,-,36.20%,25.00%,17.60%,-,16.10%,0.37,-1.65%,"555,546"
1,,228,OTRK,56.62M,-,-,-,0.55,0.95,0.75,-,7.70%,-39.60%,-6.10%,30.00%,98.20%,2.63,-4.36%,"379,055"
1,,229,LGL,56.47M,1.75,23.11,0.09,2.0,0.76,0.85,70.59,-73.70%,0.00%,21.90%,20.00%,8.50%,10.4,-1.14%,"3,667"
1,,230,DGLY,56.37M,2.02,-,0.1,4.55,0.97,1.39,-,86.10%,-156.50%,46.50%,20.00%,-12.10%,1.06,-3.64%,"170,242"
1,,233,NEPT,56.23M,-,-,-,1.61,0.43,3.39,-,-103.70%,53.30%,-69.50%,-,15.60%,0.26,-11.86%,"2,501,549"
1,,234,DWSN,55.60M,-,-,-,2.45,0.8,1.52,-,14.00%,-,14.10%,41.80%,-18.20%,2.35,0.00%,"9,137"
1,,235,FENG,55.35M,1.27,-,0.24,0.32,0.25,0.23,-,-37.10%,-,41.50%,5.29%,-5.60%,0.78,-3.74%,"10,110"
watch,adj bv 43,236,BDL,55.17M,4.65,-,-,0.4,1.07,1.69,5.57,949.20%,-,31.10%,-,5.80%,29.5,-1.01%,"1,466"
1,,240,TATT,54.42M,-,-,-,0.73,0.71,3.97,-,-345.30%,-,-21.00%,-,-2.50%,6.17,-0.48%,"1,439"
1,,241,CPIX,53.51M,-,-,-,1.41,1.13,2.07,10.49,27.80%,-,-64.60%,30.00%,2.20%,3.56,1.14%,"38,298"
1,,242,PRSO,52.46M,-,-,-,9.72,0.97,2.91,-,-10.50%,-,58.00%,30.00%,9.10%,2.47,-1.20%,"40,970"
1,,243,COCP,52.05M,-,-,-,104.09,0.63,0.84,-,88.40%,0.00%,40.70%,-,91.60%,0.53,-5.35%,"361,942"
1,,244,GURE,51.66M,150.29,-,7.91,1.12,0.19,0.52,-,68.00%,-,-17.50%,19.00%,-29.50%,5.11,-3.04%,"11,086"
1,,245,EVGN,50.98M,-,-,-,50.98,0.83,0.83,-,-18.00%,0.00%,-4.10%,-,-37.80%,1.23,-6.11%,"230,075"
1,,246,POAI,50.85M,-,-,-,42.37,1.03,1.22,-,67.70%,75.00%,62.80%,-,13.90%,0.75,-1.45%,"187,826"
